ticker,entry,exit,shares,opened,closed,reason,pnl,ret
HD,198.020004,193.99001,2,2018-08-08,2018-08-15,thesis,-10.059987999999976,-0.020351448937451777
KO,46.080002,44.76,10,2018-08-15,2018-09-04,thesis,-15.200020000000023,-0.02864587549280062
TMF,194.89999,180.2,2,2018-08-20,2018-09-17,thesis,-29.399980000000028,-0.0754232465584016
NHI,78.36,75.66,6,2018-09-05,2018-09-20,thesis,-18.200000000000017,-0.034456355283307816
FAS,70.69,73.99,7,2018-08-14,2018-09-25,trail,23.09999999999998,0.04668269910878475
BRO,29.29,29.58,17,2018-08-03,2018-09-27,thesis,2.9299999999999855,0.00990099009900991
USB,54.02,52.83,9,2018-09-13,2018-10-01,thesis,-12.710000000000043,-0.022028878193261825
TNA,93.19,83.17,5,2018-09-20,2018-10-02,thesis,-50.09999999999998,-0.10752226633758988
KMB,111.029999,112.54,4,2018-08-13,2018-10-03,thesis,4.04000400000001,0.01359993707646523
DXCM,34.875,31.535,14,2018-09-21,2018-10-03,thesis,-48.76,-0.09577060931899639
GPC,98.27,97.75,5,2018-08-14,2018-10-04,thesis,-4.59999999999998,-0.005291543706115731
AMZN,98.7275,95.471,5,2018-09-25,2018-10-04,thesis,-18.282500000000013,-0.03298473069813379
EPAM,131.22,132.62,3,2018-08-07,2018-10-05,thesis,2.200000000000017,0.01066910531931109
PG,82.7,82.15,6,2018-09-04,2018-10-05,thesis,-5.299999999999983,-0.006650544135429204
TECL,16.080999,15.055,31,2018-09-11,2018-10-08,thesis,-31.805968999999962,-0.06380194414538543
SOXL,10.60867,8.84467,47,2018-09-14,2018-10-08,thesis,-82.90799999999997,-0.16627909059288293
WWD,80.33,77.45,6,2018-08-08,2018-10-09,thesis,-19.279999999999973,-0.035852110046059926
ROP,294.87,289.29999,1,2018-08-14,2018-10-09,thesis,-7.570010000000025,-0.018889714111303357
AON,143.78,151.14,3,2018-08-06,2018-10-10,trail,20.079999999999956,0.05118931701210161
TXT,66.65,65.07,7,2018-08-17,2018-10-11,thesis,-13.060000000000088,-0.02370592648162062
NKE,82.18,74.51,6,2018-08-20,2018-10-11,thesis,-48.02000000000001,-0.09333171087855929
