ticker,entry,exit,shares,opened,closed,reason,pnl,ret
TMF,194.89999,180.5,2,2018-08-20,2018-09-14,time-exit,-28.799980000000005,-0.0738839955815288
XBI,97.16,91.84,5,2018-09-20,2018-10-04,time-exit,-26.599999999999966,-0.05475504322766567
USO,122.0,121.040001,4,2018-09-24,2018-10-15,time-exit,-3.839995999999985,-0.00786884426229506
PRU,101.32,97.4,4,2018-09-28,2018-10-15,time-exit,-17.67999999999995,-0.038689301223845174
CTAS,53.72,45.662,9,2018-09-18,2018-10-18,stop,-74.52199999999999,-0.15000000000000002
COP,76.28,72.050003,6,2018-09-21,2018-10-22,time-exit,-27.379981999999984,-0.055453552700576836
PEG,54.53,53.21,9,2018-10-10,2018-11-05,time-exit,-13.880000000000003,-0.02420685860993954
AXP,106.73,108.28,4,2018-10-19,2018-11-09,time-exit,4.199999999999989,0.014522627190105775
WEC,68.78,71.6,7,2018-11-07,2018-11-19,time-exit,17.739999999999952,0.04100029078220402
TTEC,27.41,26.97,17,2018-11-29,2018-12-14,time-exit,-9.480000000000022,-0.016052535570959536
AVB,190.57001,170.72,2,2018-11-30,2019-01-07,time-exit,-41.700019999999995,-0.10416124761708312
KEYS,70.65,79.019997,6,2019-01-24,2019-02-14,time-exit,48.21998199999999,0.11847129511677279
ODFL,47.66333,50.33333,10,2019-02-07,2019-02-26,time-exit,24.699999999999946,0.05601790726749467
AIA,60.33,60.8,8,2019-01-30,2019-03-04,time-exit,3.759999999999991,0.0077904856621913154
QCLN,19.32,20.74,25,2019-01-30,2019-03-04,time-exit,35.49999999999996,0.07349896480331264
YINN,489.79999,495.79999,1,2019-02-22,2019-03-04,time-exit,6.0,0.012249898167617346
VOO,252.0,259.85001,1,2019-02-12,2019-03-15,time-exit,7.8500099999999975,0.03115083333333324
XBI,89.53,91.27,5,2019-02-25,2019-03-15,time-exit,8.699999999999974,0.019434826315201548
AVB,194.63,200.85001,2,2019-02-28,2019-03-27,time-exit,10.440020000000004,0.03195812567435641
TTEC,35.11,35.8,14,2019-03-15,2019-03-28,time-exit,7.659999999999968,0.019652520649387606
QCLN,20.68,21.15,23,2019-03-13,2019-04-05,time-exit,10.809999999999974,0.022727272727272707
COPX,23.49,19.9665,21,2019-04-17,2019-05-08,stop,-73.99349999999997,-0.1499999999999999
INH,46.9,44.65,10,2019-04-17,2019-05-13,time-exit,-24.5,-0.04797441364605548
LOW,111.099998,94.4349983,4,2019-05-21,2019-05-23,stop,-68.65999879999998,-0.1499999999999999
DBO,10.89,10.25,45,2019-04-29,2019-05-24,time-exit,-28.800000000000026,-0.058769513314967936
USO,105.84,97.84,4,2019-04-29,2019-05-24,time-exit,-32.0,-0.0755857898715041
TTWO,107.48,107.0,4,2019-05-15,2019-05-29,time-exit,-3.920000000000016,-0.004465947152958671
TMF,222.89999,244.8,2,2019-05-23,2019-06-26,time-exit,43.80002000000002,0.09825038574474587
CVX,124.93,125.82,3,2019-06-21,2019-07-23,time-exit,0.6699999999999591,0.007123989434082878
QCLN,21.48,21.77,22,2019-07-01,2019-08-09,time-exit,6.379999999999981,0.013500931098696434
AVB,210.86,206.53999,2,2019-07-30,2019-08-20,time-exit,-10.64002000000005,-0.02048757469411
CVX,123.23,116.13,3,2019-08-08,2019-08-20,time-exit,-23.300000000000026,-0.05761584029862865
GLD,136.48,141.39999,3,2019-07-18,2019-08-22,time-exit,14.759970000000038,0.036049164712778525
TMF,310.60001,309.70001,1,2019-09-24,2019-10-01,time-exit,-0.8999999999999773,-0.002897617421197096
TMO,295.049988,279.53,1,2019-09-06,2019-10-02,time-exit,-17.519988000000012,-0.05260121549301677
IRM,33.43,32.79,14,2019-09-09,2019-10-15,time-exit,-10.960000000000008,-0.019144481005085257
AIA,58.71,61.12,8,2019-10-03,2019-10-25,time-exit,19.279999999999973,0.04104922500425823
INH,37.65,34.35,12,2019-10-11,2019-10-25,time-exit,-41.599999999999966,-0.08764940239043817
JBHT,111.6,116.75,4,2019-10-15,2019-10-25,time-exit,18.600000000000023,0.046146953405018065
QQQ,188.81,196.039993,2,2019-10-04,2019-10-29,time-exit,14.459986000000015,0.038292426248609734
LH,147.83505,141.55498,3,2019-09-23,2019-10-31,time-exit,-20.840209999999985,-0.042480250793029084
PEG,61.78,60.89,7,2019-10-16,2019-11-15,time-exit,-8.230000000000004,-0.014405956620265448
COPX,18.41,18.08,26,2019-11-04,2019-11-21,time-exit,-8.580000000000048,-0.017925040738729026
YINN,411.79999,363.39999,1,2019-11-07,2019-11-21,time-exit,-48.39999999999998,-0.1175327857584455
VOO,277.040009,288.040009,1,2019-10-25,2019-12-10,time-exit,11.0,0.039705456405756845
NEM,40.0,43.45,12,2019-12-05,2019-12-31,time-exit,39.400000000000034,0.08625000000000016
PPG,127.79,129.089996,3,2019-11-25,2020-01-06,time-exit,1.8999880000000218,0.010172908678300452
KEYS,106.3,100.14,4,2019-11-25,2020-01-06,time-exit,-26.639999999999986,-0.057949200376293475
AIA,65.11,69.099998,7,2019-12-13,2020-01-17,time-exit,27.929986,0.06128087851328523
KEY,19.83,19.61,24,2020-01-23,2020-02-06,time-exit,-7.279999999999973,-0.011094301563287945
VOO,300.45001,255.3825085,1,2020-01-28,2020-03-09,stop,-45.06750150000002,-0.15000000000000002
XBI,94.3,80.155,5,2020-03-04,2020-03-10,stop,-70.72499999999998,-0.1499999999999999
NFLX,37.924,34.992,12,2020-02-26,2020-03-11,time-exit,-37.184000000000026,-0.07731251977639497
LH,161.47766,137.25601099999997,2,2020-03-02,2020-03-11,stop,-50.44329800000003,-0.15000000000000013
TMO,333.26001,283.2710085,1,2020-01-28,2020-03-12,stop,-51.98900150000003,-0.15000000000000002
WEC,102.37,87.0145,4,2020-03-09,2020-03-12,stop,-63.422000000000025,-0.15000000000000002
LLY,140.14999,139.37,3,2020-03-05,2020-03-13,time-exit,-4.339969999999994,-0.005565394617580766
WEC,102.46,87.091,4,2020-03-17,2020-03-20,stop,-63.476,-0.15000000000000002
TTWO,126.82,124.91,3,2020-04-16,2020-05-04,time-exit,-7.72999999999999,-0.015060715975398153
VRTX,278.51001,270.85001,1,2020-05-27,2020-06-09,time-exit,-9.660000000000025,-0.02750349978444233
QCLN,27.25,29.96,17,2020-05-27,2020-06-09,time-exit,46.070000000000014,0.09944954128440364
XBI,103.56,103.059998,4,2020-05-29,2020-06-15,time-exit,-2.0000080000000366,-0.004828138277327199
TTWO,136.17,137.14999,3,2020-05-29,2020-06-15,time-exit,0.939970000000045,0.007196812807520159
AIA,64.93,64.93,7,2020-06-09,2020-06-29,time-exit,0.0,0.0
COPX,16.47,17.7,28,2020-06-18,2020-07-01,time-exit,34.44000000000001,0.07468123861566478
XBI,113.92,114.059998,4,2020-08-03,2020-08-17,time-exit,0.5599919999999656,0.0012289150280897498
SNY,52.84,51.72,8,2020-07-29,2020-08-19,time-exit,-10.960000000000036,-0.021196063588190817
QCLN,37.28,40.76,12,2020-08-04,2020-08-24,time-exit,41.75999999999996,0.09334763948497837
NFLX,55.655,47.30675,8,2020-09-01,2020-09-14,stop,-68.786,-0.15000000000000002
XBI,111.81,112.69,4,2020-08-31,2020-09-15,time-exit,3.519999999999982,0.007870494589034882
ODFL,99.52,91.089996,4,2020-09-09,2020-09-23,time-exit,-35.72001599999999,-0.08470663183279736
PEG,53.43,51.92,8,2020-09-09,2020-09-23,time-exit,-14.079999999999984,-0.028261276436458926
QCLN,41.16,43.49,11,2020-09-17,2020-09-29,time-exit,25.63000000000006,0.056608357628765926
IVZ,11.85,13.8,39,2020-10-02,2020-10-13,tp,74.05000000000004,0.16455696202531644
QCLN,45.61,50.33,10,2020-10-01,2020-10-16,time-exit,47.19999999999999,0.10348607761455808
XBI,117.040001,119.87,4,2020-10-22,2020-11-06,time-exit,11.319996000000003,0.024179758850138677
QCLN,48.55,57.12,9,2020-10-29,2020-11-09,tp,77.13,0.1765190525231719
QQQ,286.91,290.92999,1,2020-11-04,2020-11-13,time-exit,4.01998999999995,0.014011327594018796
VOO,315.60999,329.01001,1,2020-11-04,2020-11-13,time-exit,13.40002000000004,0.04245752803959113
CTAS,90.865,92.165,5,2020-11-09,2020-11-16,time-exit,4.500000000000057,0.014306938865349839
AIA,74.84,82.07,6,2020-10-09,2020-11-20,time-exit,43.37999999999994,0.09660609299839651
KEYS,104.87,119.07,4,2020-10-30,2020-11-27,time-exit,54.799999999999955,0.13540574044054532
USO,30.8,31.94,15,2020-11-24,2020-12-11,time-exit,17.10000000000001,0.03701298701298694
TTWO,180.50999,201.77,2,2020-11-30,2020-12-21,time-exit,40.520020000000045,0.11777747037712438
PLUS,42.2,43.975,11,2020-12-15,2020-12-31,time-exit,17.524999999999984,0.04206161137440745
INH,32.5,33.8,14,2020-12-17,2021-01-06,time-exit,16.19999999999996,0.039999999999999813
CTAS,88.5475,88.765,5,2020-12-28,2021-01-07,time-exit,-0.9124999999999943,0.002456308760834691
EXPE,125.54,144.020004,3,2020-12-18,2021-01-08,time-exit,53.44001199999998,0.1472041102437469
AIA,85.37,95.099998,5,2020-12-04,2021-01-14,time-exit,48.649989999999974,0.11397444067002449
YINN,454.39999,524.77,1,2021-01-08,2021-01-20,tp,70.37000999999998,0.15486358175315984
XBI,144.080002,150.78,3,2020-12-30,2021-01-21,time-exit,20.09999399999998,0.046501928838118545
USO,33.94,36.12,14,2021-01-05,2021-02-01,time-exit,30.519999999999996,0.06423099587507375
DBO,8.7,9.32,55,2021-01-05,2021-02-01,time-exit,34.10000000000005,0.07126436781609202
COPX,31.51,31.96,15,2021-02-01,2021-02-05,time-exit,6.749999999999989,0.014281180577594421
AIA,96.78,98.84,5,2021-02-01,2021-02-05,time-exit,10.300000000000011,0.021285389543294064
GLD,182.33,171.52,2,2021-01-04,2021-02-08,time-exit,-21.620000000000005,-0.0592881039872758
PLUS,46.255,47.545,10,2021-02-04,2021-02-11,time-exit,10.899999999999991,0.027888876878175317
COPX,34.060001,38.5,14,2021-02-10,2021-02-19,tp,62.159986,0.13035815823963137
XBI,160.72,136.612,3,2021-02-17,2021-03-04,stop,-72.32400000000001,-0.15000000000000002
PRU,89.91,92.72,5,2021-02-24,2021-03-08,time-exit,12.050000000000011,0.03125347569792014
LH,208.71992,199.84537,2,2021-02-17,2021-03-10,time-exit,-19.7491,-0.04251894117245736
USO,43.07,41.77,11,2021-03-04,2021-03-19,time-exit,-14.299999999999969,-0.030183422335732457
PLUS,52.585,49.42,9,2021-03-09,2021-03-24,time-exit,-30.484999999999992,-0.06018826661595511
VOO,355.87,357.42001,1,2021-03-09,2021-03-24,time-exit,1.5500099999999861,0.004355551184421325
QQQ,321.89999,315.91,1,2021-03-17,2021-03-29,time-exit,-5.9899899999999775,-0.018608232948376213
